Ponto / Grupo;Data;Hora;Ativa C (kWh)
PEVVGNTR1--03 (L);11/01/2024;1;6.816,11
PEVVGNTR1--03 (L);11/01/2024;2;5.025,57
PEVVGNTR1--03 (L);11/01/2024;3;0
PEVVGNTR1--03 (L);11/01/2024;4;4.402,91
PEVVGNTR1--03 (L);11/01/2024;5;7.487,72
PEVVGNTR1--03 (L);11/01/2024;6;7.858,71
PEVVGNTR1--03 (L);11/01/2024;7;8.116,36
PEVVGNTR1--03 (L);11/01/2024;8;8.276,76
PEVVGNTR1--03 (L);11/01/2024;9;8.240,74
PEVVGNTR1--03 (L);11/01/2024;10;7.260,33
PEVVGNTR1--03 (L);11/01/2024;11;7.110,07
PEVVGNTR1--03 (L);11/01/2024;12;7.319,73
PEVVGNTR1--03 (L);11/01/2024;13;7.783,11
PEVVGNTR1--03 (L);11/01/2024;14;7.918,10
PEVVGNTR1--03 (L);11/01/2024;15;7.796,82
PEVVGNTR1--03 (L);11/01/2024;16;7.635,18
PEVVGNTR1--03 (L);11/01/2024;17;7.498,54
PEVVGNTR1--03 (L);11/01/2024;18;8.097,33
PEVVGNTR1--03 (L);11/01/2024;19;7.543,45
PEVVGNTR1--03 (L);11/01/2024;20;7.565,14
PEVVGNTR1--03 (L);11/01/2024;21;7.576,32
PEVVGNTR1--03 (L);11/01/2024;22;7.308,64
PEVVGNTR1--03 (L);11/01/2024;23;8.013,81
PEVVGNTR1--03 (L);11/01/2024;24;7.566,33
PEVVGNTR1--03 (L);12/01/2024;1;7.438,51
PEVVGNTR1--03 (L);12/01/2024;2;7.575,39
PEVVGNTR1--03 (L);12/01/2024;3;7.233,50
PEVVGNTR1--03 (L);12/01/2024;4;7.782,07
PEVVGNTR1--03 (L);12/01/2024;5;7.696,39
PEVVGNTR1--03 (L);12/01/2024;6;7.419,04
PEVVGNTR1--03 (L);12/01/2024;7;7.487,22
PEVVGNTR1--03 (L);12/01/2024;8;7.311,11
PEVVGNTR1--03 (L);12/01/2024;9;7.209,70
